Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating
ID0001,2015-01-01 09:12:58.000,Diane,Washing Machine,Y,Y,109.0,00:02:23.210000,3.0
ID0002,2015-01-01 09:12:57.600,Becky,Air Conditioner,Y,N,70.0,00:04:02.323000,3.0
ID0003,2015-01-01 09:47:31.200,Stewart,Washing Machine,Y,Y,10.0,00:02:11.202000,3.0
ID0004,2015-01-01 09:47:31.200,Greg,Washing Machine,Y,Y,53.0,00:00:37.481000,2.0
ID0005,2015-01-01 10:00:28.800,Becky,Toaster,Y,Y,95.0,00:01:00.083000,3.0
ID0006,2015-01-01 10:00:28.800,Stewart,Air Conditioner,N,N,,,
ID0007,2015-01-01 10:22:04.800,Diane,Toaster,Y,Y,24.0,00:03:40.342000,2.0
ID0008,2015-01-01 10:22:04.800,Diane,Toaster,Y,Y,22.0,00:00:38.344000,4.0
ID0009,2015-01-01 11:13:55.200,Greg,Fridge,Y,Y,15.0,00:06:38.450000,4.0
ID0010,2015-01-01 11:13:55.200,Jim,Television,Y,Y,78.0,00:01:03.753000,3.0
ID0011,2015-01-01 11:15:21.600,Joe,Toaster,N,N,,,
ID0012,2015-01-01 11:15:21.600,Greg,Toaster,Y,Y,50.0,00:00:31.734000,4.0
ID0013,2015-01-01 11:52:48.000,Joe,Toaster,Y,Y,84.0,00:03:33.719000,3.0
ID0014,2015-01-01 11:52:48.000,Martha,Washing Machine,Y,Y,89.0,00:05:43.615000,3.0
ID0015,2015-01-01 11:55:40.800,Becky,Fridge,Y,Y,48.0,00:03:47.074000,4.0
ID0016,2015-01-01 11:55:40.800,Becky,Fridge,Y,Y,63.0,00:05:26.250000,2.0
ID0017,2015-01-01 11:57:07.200,Greg,Air Conditioner,Y,Y,45.0,00:05:32.182000,5.0
ID0018,2015-01-01 11:57:07.200,Becky,Fridge,N,N,,,
ID0019,2015-01-01 12:01:26.400,Jim,Television,N,N,,,
ID0020,2015-01-01 12:01:26.400,Jim,Washing Machine,Y,Y,101.0,00:02:27.377000,3.0
ID0021,2015-01-01 12:02:52.800,Jim,Air Conditioner,Y,Y,74.0,00:05:22.240000,5.0
ID0022,2015-01-01 12:02:52.800,Dan,Fridge,Y,Y,89.0,00:05:50.028000,5.0
ID0023,2015-01-01 12:02:52.800,Martha,Air Conditioner,N,N,,,
ID0024,2015-01-01 12:02:52.800,Joe,Air Conditioner,Y,Y,68.0,00:05:24.657000,2.0
ID0025,2015-01-01 12:30:14.400,Diane,Television,Y,Y,97.0,00:04:08.687000,3.0
ID0026,2015-01-01 12:30:14.400,Dan,Toaster,N,N,,,
ID0027,2015-01-01 12:40:19.200,Joe,Television,Y,Y,39.0,00:03:59.515000,3.0
ID0028,2015-01-01 12:40:19.200,Martha,Washing Machine,Y,Y,51.0,00:02:33.722000,4.0
ID0029,2015-01-01 12:40:19.200,Joe,Air Conditioner,Y,Y,106.0,00:02:09.403000,4.0
ID0030,2015-01-01 12:40:19.200,Stewart,Television,Y,Y,107.0,00:05:55.450000,3.0
ID0031,2015-01-01 13:24:57.600,Joe,Fridge,Y,Y,22.0,00:05:08.400000,3.0
ID0032,2015-01-01 13:24:57.600,Joe,Television,Y,Y,122.0,00:02:07.767000,4.0
ID0033,2015-01-01 13:33:36.000,Diane,Air Conditioner,Y,Y,57.0,00:06:49.356000,3.0
ID0034,2015-01-01 13:33:36.000,Jim,Toaster,Y,N,53.0,00:01:43.568000,2.0
ID0035,2015-01-01 13:42:14.400,Becky,Television,Y,Y,119.0,00:01:31.267000,5.0
ID0036,2015-01-01 13:42:14.400,Diane,Television,N,N,,,
ID0037,2015-01-01 13:42:14.400,Martha,Air Conditioner,Y,N,20.0,00:01:11.745000,2.0
ID0038,2015-01-01 13:42:14.400,Joe,Air Conditioner,Y,Y,52.0,00:00:36.220000,3.0
ID0039,2015-01-01 14:38:24.000,Stewart,Washing Machine,Y,Y,74.0,00:06:40.781000,1.0
ID0040,2015-01-01 14:38:24.000,Greg,Air Conditioner,Y,Y,49.0,00:02:29.018000,3.0
ID0041,2015-01-01 14:47:02.400,Jim,Air Conditioner,Y,Y,27.0,00:02:09.364000,5.0
ID0042,2015-01-01 14:47:02.400,Greg,Washing Machine,Y,Y,100.0,00:04:54.448000,5.0
ID0043,2015-01-01 14:47:02.400,Diane,Air Conditioner,Y,Y,45.0,00:06:20.811000,3.0
ID0044,2015-01-01 14:47:02.400,Becky,Toaster,Y,Y,98.0,00:03:14.433000,5.0
ID0045,2015-01-01 15:44:38.400,Diane,Fridge,Y,Y,25.0,00:05:12.561000,5.0
ID0046,2015-01-01 15:44:38.400,Jim,Washing Machine,N,N,,,
ID0047,2015-01-01 17:13:55.200,Dan,Fridge,Y,Y,107.0,00:02:22.454000,3.0
ID0048,2015-01-01 17:13:55.200,Martha,Washing Machine,N,N,,,
ID0049,2015-01-01 17:25:26.400,Joe,Air Conditioner,Y,Y,104.0,00:03:35.184000,5.0
ID0050,2015-01-01 17:25:26.400,Dan,Air Conditioner,N,N,,,
ID0051,2015-01-01 17:35:31.200,Martha,Washing Machine,N,N,,,
ID0052,2015-01-01 17:35:31.200,Jim,Fridge,N,N,,,
ID0053,2015-01-01 17:36:57.600,Stewart,Toaster,Y,Y,13.0,00:01:15.180000,5.0
ID0054,2015-01-01 17:36:57.600,Dan,Toaster,Y,Y,119.0,00:02:31.935000,5.0
ID0055,2015-01-01 17:44:09.600,Becky,Television,Y,Y,35.0,00:01:19.364000,3.0
ID0056,2015-01-01 17:44:09.600,Dan,Television,Y,Y,83.0,00:06:44.847000,4.0
ID0057,2015-01-01 17:57:07.200,Jim,Air Conditioner,Y,Y,48.0,00:02:51.848000,2.0
ID0058,2015-01-01 17:57:07.200,Stewart,Fridge,Y,Y,45.0,00:03:22.775000,5.0
ID0059,2015-01-02 09:05:45.600,Dan,Air Conditioner,Y,Y,65.0,00:06:00.232000,5.0
ID0060,2015-01-02 09:05:45.600,Dan,Washing Machine,Y,Y,50.0,00:04:26.182000,3.0
ID0061,2015-01-02 09:18:43.200,Diane,Television,Y,Y,17.0,00:06:15.108000,3.0
ID0062,2015-01-02 09:18:43.200,Joe,Air Conditioner,N,N,,,
ID0063,2015-01-02 09:20:09.600,Dan,Television,Y,Y,96.0,00:06:45.991000,1.0
ID0064,2015-01-02 09:20:09.600,Stewart,Television,Y,Y,90.0,00:06:22.657000,3.0
ID0065,2015-01-02 09:38:52.800,Jim,Washing Machine,Y,Y,98.0,00:06:24.874000,2.0
ID0066,2015-01-02 09:38:52.800,Diane,Air Conditioner,Y,N,90.0,00:01:23.279000,4.0
ID0067,2015-01-02 10:04:48.000,Jim,Washing Machine,Y,Y,98.0,00:05:48.767000,5.0
ID0068,2015-01-02 10:04:48.000,Jim,Washing Machine,Y,Y,70.0,00:03:12.353000,5.0
ID0069,2015-01-02 10:33:36.000,Diane,Washing Machine,Y,Y,69.0,00:04:44.980000,4.0
ID0070,2015-01-02 10:33:36.000,Diane,Fridge,N,N,,,
ID0071,2015-01-02 11:08:09.600,Joe,Air Conditioner,Y,Y,120.0,00:02:10.726000,4.0
ID0072,2015-01-02 11:08:09.600,Stewart,Fridge,Y,Y,113.0,00:05:51.263000,5.0
ID0073,2015-01-02 11:26:52.800,Greg,Toaster,Y,N,10.0,00:02:18.660000,5.0
